author,f0,f1,f2,f3,f4,f5
penmou,0.145535,0.039691,0.000000,0.455859,1,1
abhijain565aj,0.000000,0.405391,0.002643,0.952528,1,0
Shiro_Oni,0.000000,0.400000,0.003162,0.973479,0,0
Juliano1,0.080633,0.117558,0.005275,0.405720,0,1
zrj66,0.057296,0.100076,0.007639,0.388123,0,1
zrj66,0.067589,0.110165,0.007451,0.457719,0,1
HarshBoghani,0.000000,0.288174,0.004865,0.615478,0,0
lsr_czz,0.062868,0.061559,0.002620,0.299574,0,1
m_nature,0.000000,0.290580,0.007785,0.618778,0,0
ttakk,0.000000,0.488584,0.001142,1.329787,0,0
Healexr,0.099231,0.143256,0.000000,0.519108,1,1
zrj66,0.033774,0.102056,0.007342,0.355224,0,1
ttakk,0.000000,0.478186,0.000855,1.338000,0,0
saksham_taneja_27,0.000000,0.272910,0.001338,0.575342,1,0
ttakk,0.000000,0.515176,0.000820,1.503080,0,0
keaucucal,0.055028,0.159393,0.007590,0.514368,0,1
10tus,0.000000,0.267391,0.008696,0.580756,0,0
ttakk,0.000000,0.471061,0.001608,1.365019,0,0
abhijain565aj,0.000000,0.337124,0.003344,0.748538,1,0
szx233,0.000000,0.377289,0.005495,0.922535,1,0
penmou,0.081498,0.068282,0.000000,0.351190,1,1
chenlujiu,0.000000,0.212851,0.012048,0.500000,0,0
Shiro_Oni,0.000000,0.458025,0.001235,1.268908,0,0
lsr_czz,0.062074,0.060027,0.002729,0.293910,0,1
alg0man,0.000000,0.200468,0.003900,0.382956,0,0
Ankit_singh_sisodya,0.000000,0.363636,0.004662,0.884334,1,0
alg0man,0.000000,0.238367,0.004503,0.455221,0,0
ttakk,0.000000,0.468750,0.001488,1.309278,0,0
Juliano1,0.099162,0.127095,0.001397,0.485477,0,1
szx233,0.000000,0.428571,0.001323,1.016000,1,0
zrj66,0.042318,0.074517,0.009200,0.338670,0,1
unknown-name-user,0.059809,0.028708,0.000000,0.286154,1,1
chenlujiu,0.000000,0.288798,0.002055,0.654762,0,0
caprisun,0.000000,0.407810,0.001034,0.897448,1,0
saksham_taneja_27,0.000000,0.276281,0.002606,0.609790,1,0
Black_King1,0.080645,0.053763,0.002688,0.357664,0,1
A1B_2C3,0.000000,0.293040,0.001832,0.761290,1,0
Healexr,0.102431,0.092014,0.000000,0.454545,1,1
dakshat,0.000000,0.268927,0.000000,0.529554,0,0
alg0man,0.000000,0.266667,0.000000,0.633663,1,0
penmou,0.077670,0.038835,0.000000,0.295597,1,1
KouMoSir,0.000000,0.230629,0.001823,0.482432,0,0
Healexr,0.104205,0.161792,0.000000,0.601757,1,1
keaucucal,0.043860,0.150877,0.008772,0.465296,0,1
Black_King1,0.168376,0.023932,0.000855,0.435583,0,1
A1B_2C3,0.000000,0.235362,0.001148,0.538869,1,0
unknown-name-user,0.060440,0.035714,0.000000,0.314079,1,1
KouMoSir,0.000000,0.264410,0.001830,0.561429,0,0
unknown-name-user,0.088859,0.026525,0.000000,0.334513,1,1
Shiro_Oni,0.000000,0.358974,0.001603,0.846154,0,0
SG2Alok,0.067520,0.122246,0.003554,0.393069,0,1
Ankit_singh_sisodya,0.000000,0.275204,0.008174,0.675799,1,0
dakshat,0.000000,0.341667,0.001042,0.764706,0,0
10tus,0.000000,0.311377,0.007984,0.721649,0,0
unknown-name-user,0.069005,0.031674,0.000000,0.279305,1,1
keaucucal,0.053830,0.124224,0.012422,0.468085,0,1
zrj66,0.032915,0.106583,0.007837,0.360341,0,1
chenlujiu,0.000000,0.250000,0.006173,0.557692,0,0
Healexr,0.071203,0.128165,0.000000,0.423423,1,1
abhijain565aj,0.000000,0.253534,0.005300,0.527665,1,0
m_nature,0.000000,0.275430,0.007499,0.583333,0,0
abhijain565aj,0.000000,0.246847,0.004505,0.500000,1,0
Black_King1,0.089242,0.063570,0.002445,0.370184,0,1
SG2Alok,0.064673,0.137691,0.002782,0.400195,0,1
HarshBoghani,0.000000,0.250695,0.004768,0.523608,0,0
zrj66,0.077111,0.097919,0.005508,0.406196,0,1
A1B_2C3,0.000000,0.295096,0.002494,0.661602,1,0
ttakk,0.000000,0.506958,0.000994,1.395238,0,0
Healexr,0.172454,0.121528,0.000000,0.684211,1,1
alg0man,0.000000,0.175087,0.002673,0.328480,0,0
alg0man,0.000000,0.199632,0.004375,0.380483,0,0
Black_King1,0.077994,0.126741,0.000000,0.462322,0,1
Shiro_Oni,0.000000,0.355509,0.006237,0.893701,0,0
HarshBoghani,0.000000,0.343862,0.009332,0.799742,0,0
abhijain565aj,0.000000,0.377149,0.002293,0.863960,1,0
lsr_czz,0.052817,0.063380,0.002817,0.285068,0,1
Ankit_singh_sisodya,0.000000,0.312336,0.005249,0.763889,1,0
HarshBoghani,0.000000,0.285081,0.004751,0.601725,0,0
ttakk,0.000000,0.448441,0.000799,1.134812,0,0
penmou,0.116022,0.038674,0.000000,0.436508,1,1
yimg,0.071581,0.123932,0.000000,0.407519,0,1
Shiro_Oni,0.000000,0.280597,0.008955,0.666667,0,0
Ankit_singh_sisodya,0.000000,0.397015,0.006965,1.051020,1,0
szx233,0.000000,0.443510,0.003606,1.183727,1,0
caprisun,0.000000,0.393443,0.000000,1.000000,1,0
yimg,0.053097,0.144543,0.000000,0.473913,0,1
chenlujiu,0.000000,0.207048,0.005874,0.455128,0,0
abhijain565aj,0.000000,0.349262,0.003514,0.792191,1,0
10tus,0.000000,0.358025,0.005144,0.800000,0,0
abhijain565aj,0.000000,0.299439,0.003119,0.614300,1,0
SG2Alok,0.045640,0.141689,0.002725,0.363045,0,1
saksham_taneja_27,0.000000,0.273165,0.001203,0.553271,1,0
Shiro_Oni,0.000000,0.403509,0.003509,1.050360,0,0
keaucucal,0.000000,0.358722,0.007371,0.884259,0,0
m_nature,0.000000,0.301984,0.007730,0.645654,0,0
zrj66,0.050484,0.120347,0.006119,0.439794,0,1
dakshat,0.000000,0.430647,0.000000,0.961397,0,0
dakshat,0.000000,0.393701,0.000000,0.902622,0,0
A1B_2C3,0.000000,0.226829,0.002439,0.570881,1,0
m_nature,0.000000,0.294736,0.007347,0.618059,0,0
zrj66,0.050612,0.104490,0.008163,0.393629,0,1
keaucucal,0.081699,0.107843,0.006536,0.545455,0,1
zrj66,0.063882,0.096437,0.006143,0.390265,0,1
Healexr,0.100184,0.124081,0.000000,0.490411,1,1
chenlujiu,0.000000,0.196498,0.011673,0.456091,0,0
keaucucal,0.055961,0.126521,0.009732,0.500000,0,1
SG2Alok,0.028280,0.133543,0.003142,0.321911,0,1
abhijain565aj,0.000000,0.277236,0.004065,0.587097,1,0
szx233,0.000000,0.342149,0.003306,0.758721,1,0
zrj66,0.050459,0.125382,0.006116,0.450111,0,1
ttakk,0.000000,0.529180,0.000789,1.561616,0,0
penmou,0.187657,0.034005,0.000000,0.544747,1,1
Juliano1,0.029046,0.151452,0.002075,0.357746,0,1
A1B_2C3,0.000000,0.365701,0.000568,0.891515,1,0
chenlujiu,0.000000,0.277383,0.004267,0.590498,0,0
caprisun,0.000000,0.482759,0.000766,1.317940,1,0
Black_King1,0.052419,0.161290,0.000000,0.512195,0,1
Healexr,0.091220,0.129989,0.000000,0.478921,1,1
10tus,0.000000,0.257603,0.016100,0.610951,0,0
keaucucal,0.115572,0.137470,0.007299,0.624506,0,1
Shiro_Oni,0.000000,0.546330,0.000000,1.742574,0,0
KouMoSir,0.000000,0.282473,0.005477,0.615676,0,0
dakshat,0.000000,0.505062,0.000000,1.358127,0,0
KouMoSir,0.000000,0.227907,0.001860,0.468579,0,0
dakshat,0.000000,0.292343,0.000000,0.608209,0,0
caprisun,0.000000,0.429054,0.000000,1.109264,1,0
m_nature,0.000000,0.289217,0.007423,0.613554,0,0
ttakk,0.000000,0.474535,0.000808,1.325188,0,0
lsr_czz,0.086296,0.034032,0.001215,0.253714,0,1
KouMoSir,0.000000,0.263252,0.000898,0.558824,0,0
zrj66,0.026927,0.090065,0.009285,0.334572,0,1
Healexr,0.031447,0.103774,0.000000,0.330544,1,1
Healexr,0.087500,0.104167,0.000000,0.472393,1,1
dakshat,0.000000,0.406040,0.000839,0.941368,0,0
szx233,0.000000,0.330836,0.006866,0.715203,1,0
KouMoSir,0.000000,0.319822,0.001110,0.684752,0,0
KouMoSir,0.000000,0.207739,0.001018,0.444118,0,0
Ankit_singh_sisodya,0.000000,0.248521,0.007396,0.586854,1,0
lsr_czz,0.047926,0.065808,0.002861,0.269755,0,1
alg0man,0.000000,0.298236,0.003583,0.609583,0,0
lsr_czz,0.049473,0.067315,0.003244,0.283039,0,1
Shiro_Oni,0.000000,0.355856,0.006757,0.897436,0,0
caprisun,0.000000,0.474124,0.000000,1.268939,1,0
caprisun,0.000000,0.487747,0.000000,1.346424,1,0
chenlujiu,0.000000,0.208178,0.007435,0.461957,0,0
unknown-name-user,0.077295,0.030193,0.000000,0.320574,1,1
Juliano1,0.044652,0.138110,0.005192,0.409956,0,1
keaucucal,0.056701,0.164948,0.005155,0.539683,0,1
Black_King1,0.108150,0.123824,0.000000,0.579208,0,1
zrj66,0.047297,0.086149,0.010135,0.376744,0,1
HarshBoghani,0.000000,0.255865,0.005755,0.541980,0,0
caprisun,0.000000,0.490982,0.001002,1.458128,1,0
m_nature,0.000000,0.292474,0.007497,0.622847,0,0
Ankit_singh_sisodya,0.000000,0.307178,0.007299,0.754536,1,0
penmou,0.078947,0.039474,0.000000,0.365269,1,1
penmou,0.101389,0.029167,0.000000,0.318681,1,1
10tus,0.000000,0.297739,0.005025,0.648033,0,0
alg0man,0.000000,0.234741,0.005066,0.442743,0,0
A1B_2C3,0.000000,0.261117,0.001140,0.612132,1,0
10tus,0.000000,0.345638,0.005593,0.739300,0,0
yimg,0.038023,0.144487,0.000000,0.437158,0,1
caprisun,0.000000,0.409222,0.001441,1.041176,1,0
Ankit_singh_sisodya,0.000000,0.279673,0.006821,0.681193,1,0
dakshat,0.000000,0.382604,0.000534,0.868395,0,0
saksham_taneja_27,0.000000,0.293913,0.003478,0.711310,1,0
Ankit_singh_sisodya,0.000000,0.298335,0.005762,0.675966,1,0
alg0man,0.000000,0.152492,0.004496,0.300682,0,0
zrj66,0.035714,0.099379,0.010093,0.364407,0,1
Juliano1,0.039242,0.136671,0.002706,0.326750,0,1
penmou,0.125945,0.039043,0.000000,0.405310,1,1
Juliano1,0.074967,0.119948,0.003911,0.390752,0,1
szx233,0.000000,0.351175,0.002611,0.752860,1,0
szx233,0.000000,0.463058,0.004296,1.269006,1,0
penmou,0.082927,0.036585,0.000000,0.309904,1,1
abhijain565aj,0.000000,0.387310,0.003305,0.898369,1,0
alg0man,0.000000,0.239723,0.005185,0.451012,0,0
ttakk,0.000000,0.444444,0.001565,1.195876,0,0
szx233,0.000000,0.419062,0.003026,1.040123,1,0
KouMoSir,0.000000,0.185351,0.002990,0.402516,0,0
lsr_czz,0.048065,0.059301,0.002497,0.253521,0,1
yimg,0.065574,0.172678,0.000000,0.492659,0,1
KouMoSir,0.000000,0.273128,0.002203,0.604240,0,0
szx233,0.000000,0.398925,0.003226,0.949686,1,0
A1B_2C3,0.000000,0.273338,0.000672,0.618478,0,0
Ankit_singh_sisodya,0.000000,0.357773,0.003394,0.850503,1,0
saksham_taneja_27,0.000000,0.184017,0.002103,0.362464,1,0
SG2Alok,0.009542,0.129771,0.003817,0.274939,0,1
zrj66,0.079784,0.094659,0.006085,0.426230,0,1
penmou,0.084282,0.041002,0.000000,0.330303,1,1
caprisun,0.000000,0.535855,0.000303,1.492459,1,0
abhijain565aj,0.000000,0.291381,0.003814,0.608589,1,0
Juliano1,0.068465,0.160788,0.004149,0.485362,0,1
caprisun,0.000000,0.422236,0.000312,0.962010,0,0
m_nature,0.000000,0.299946,0.008056,0.645119,0,0
Black_King1,0.000000,0.232877,0.000000,0.533613,0,0
HarshBoghani,0.000000,0.252300,0.006132,0.529136,0,0
szx233,0.000000,0.295669,0.005650,0.638889,1,0
Healexr,0.065539,0.114165,0.000000,0.416168,1,1
SG2Alok,0.020561,0.124299,0.003738,0.293833,0,1
chenlujiu,0.000000,0.184275,0.019656,0.464029,0,0
saksham_taneja_27,0.000000,0.247434,0.001140,0.459235,0,0
caprisun,0.000000,0.357143,0.000000,0.897196,1,0
Juliano1,0.077632,0.144737,0.003947,0.464355,0,1
yimg,0.096033,0.133612,0.000000,0.530351,0,1
Ankit_singh_sisodya,0.000000,0.560954,0.002086,1.775021,1,0
dakshat,0.000000,0.224242,0.000000,0.434783,0,0
Healexr,0.052388,0.137134,0.000000,0.386752,1,1
A1B_2C3,0.000000,0.264822,0.002635,0.628755,1,0
Black_King1,0.102204,0.036072,0.000000,0.348649,0,1
dakshat,0.000000,0.260933,0.000000,0.521064,0,0
alg0man,0.000000,0.152253,0.004872,0.314301,0,0
yimg,0.059459,0.132432,0.000000,0.462451,0,1
SG2Alok,0.046885,0.127930,0.004019,0.372243,0,1
A1B_2C3,0.000000,0.209091,0.003636,0.498638,1,0
dakshat,0.000000,0.549337,0.000000,1.578481,0,0
HarshBoghani,0.000000,0.308202,0.004413,0.660965,0,0
keaucucal,0.096804,0.129680,0.008219,0.548798,0,1
Healexr,0.071078,0.129902,0.000000,0.457143,1,1
Ankit_singh_sisodya,0.000000,0.299712,0.006724,0.703764,1,0
HarshBoghani,0.000000,0.281805,0.003385,0.571365,0,0
alg0man,0.000000,0.240764,0.005187,0.451607,0,0
ttakk,0.000000,0.464094,0.001072,1.210900,0,0
Healexr,0.070465,0.161919,0.000000,0.502252,1,1
chenlujiu,0.000000,0.216596,0.007032,0.478170,0,0
keaucucal,0.052154,0.156463,0.009070,0.515464,0,1
A1B_2C3,0.000000,0.273179,0.001656,0.682451,1,0
abhijain565aj,0.000000,0.313262,0.003584,0.680723,1,0
lsr_czz,0.059125,0.055145,0.002274,0.265468,0,1
A1B_2C3,0.000000,0.267241,0.003448,0.661891,1,0
alg0man,0.000000,0.139575,0.004768,0.286670,0,0
HarshBoghani,0.000000,0.260178,0.004653,0.546163,0,0
abhijain565aj,0.000000,0.271845,0.004045,0.568528,1,0
saksham_taneja_27,0.000000,0.203540,0.005900,0.500000,1,0
zrj66,0.048445,0.104121,0.007231,0.385772,0,1
KouMoSir,0.000000,0.212637,0.002430,0.464413,0,0
chenlujiu,0.000000,0.215493,0.007042,0.476091,0,0
unknown-name-user,0.081152,0.037958,0.000000,0.347443,1,1
yimg,0.082818,0.123609,0.000000,0.460289,0,1
Ankit_singh_sisodya,0.000000,0.298738,0.004909,0.631579,1,0
abhijain565aj,0.000000,0.279641,0.002994,0.576959,1,0
Healexr,0.069351,0.125280,0.000000,0.432692,1,1
penmou,0.066474,0.060694,0.000000,0.351562,1,1
dakshat,0.000000,0.320043,0.000000,0.687273,0,0
alg0man,0.000000,0.127520,0.004219,0.264375,1,0
saksham_taneja_27,0.000000,0.276347,0.002342,0.623574,1,0
alg0man,0.000000,0.242100,0.005224,0.453872,0,0
dakshat,0.000000,0.420049,0.000000,0.985437,0,0
Healexr,0.088119,0.113861,0.000000,0.480938,1,1
szx233,0.000000,0.475500,0.002070,1.257009,1,0
10tus,0.000000,0.428678,0.005975,1.031866,0,0
Shiro_Oni,0.000000,0.376645,0.001645,0.894081,0,0
abhijain565aj,0.000000,0.389851,0.002475,0.886381,1,0
A1B_2C3,0.000000,0.266204,0.002315,0.687500,1,0
Juliano1,0.054234,0.137012,0.002854,0.379265,0,1
unknown-name-user,0.084291,0.024904,0.000000,0.321519,1,1
unknown-name-user,0.146915,0.025465,0.000000,0.456491,1,1
lsr_czz,0.048128,0.059418,0.002377,0.255970,0,1
szx233,0.000000,0.311688,0.003711,0.679128,1,0
unknown-name-user,0.106306,0.030631,0.000000,0.426735,1,1
caprisun,0.000000,0.313665,0.000000,0.779006,1,0
keaucucal,0.057927,0.140244,0.010671,0.497717,0,1
caprisun,0.000000,0.408815,0.000760,0.952522,1,0
SG2Alok,0.034278,0.125247,0.003296,0.315698,0,1
ttakk,0.000000,0.411483,0.002392,1.069307,0,0
10tus,0.000000,0.364599,0.004539,0.815934,0,0
saksham_taneja_27,0.000000,0.377224,0.002372,0.992908,1,0
chenlujiu,0.000000,0.295570,0.002179,0.647129,0,0
Juliano1,0.059570,0.133789,0.002930,0.406593,0,1
Shiro_Oni,0.000000,0.477837,0.001461,1.271018,0,0
yimg,0.040573,0.157518,0.000000,0.434932,1,1
chenlujiu,0.000000,0.318280,0.006452,0.735075,0,0
HarshBoghani,0.000000,0.357977,0.003335,0.795409,0,0
Juliano1,0.077406,0.139644,0.003138,0.445200,0,1
SG2Alok,0.040563,0.122517,0.004139,0.340733,0,1
dakshat,0.000000,0.308278,0.000000,0.634526,0,0
zrj66,0.048303,0.098564,0.008486,0.381425,0,1
Shiro_Oni,0.000000,0.496839,0.000632,1.375375,0,0
dakshat,0.000000,0.429812,0.000482,1.068862,0,0
chenlujiu,0.000000,0.277181,0.003356,0.603875,0,0
KouMoSir,0.000000,0.226341,0.001951,0.483357,0,0
10tus,0.000000,0.306756,0.008521,0.641359,0,0
zrj66,0.046431,0.106210,0.005804,0.387279,0,1
caprisun,0.000000,0.395628,0.000546,0.875000,1,0
saksham_taneja_27,0.000000,0.295369,0.002503,0.682105,1,0
A1B_2C3,0.000000,0.233010,0.001618,0.537313,1,0
penmou,0.144013,0.033981,0.000000,0.423963,1,1
zrj66,0.087492,0.099815,0.007394,0.490358,0,1
yimg,0.066038,0.125786,0.000000,0.479070,0,1
SG2Alok,0.043279,0.147541,0.002623,0.368941,0,1
Ankit_singh_sisodya,0.000000,0.275385,0.006154,0.679587,1,0
Shiro_Oni,0.000000,0.399436,0.000940,0.938069,0,0
dakshat,0.000000,0.275307,0.000000,0.549853,0,0
HarshBoghani,0.000000,0.335423,0.004180,0.746350,0,0
dakshat,0.000000,0.379479,0.000000,0.825570,0,0
chenlujiu,0.000000,0.196691,0.005515,0.420366,0,0
alg0man,0.000000,0.173333,0.002614,0.328125,0,0
SG2Alok,0.090813,0.126394,0.002124,0.461957,0,1
caprisun,0.000000,0.446335,0.000654,1.087432,1,0
Black_King1,0.078838,0.060166,0.000000,0.335180,0,1
saksham_taneja_27,0.000000,0.239130,0.002717,0.520661,1,0
chenlujiu,0.000000,0.263909,0.007133,0.607798,0,0
KouMoSir,0.000000,0.269347,0.002010,0.537867,0,0
SG2Alok,0.045966,0.141651,0.003283,0.384416,0,1
Juliano1,0.077273,0.118182,0.004545,0.405751,0,1
KouMoSir,0.000000,0.302236,0.001278,0.643908,0,0
zrj66,0.049799,0.086747,0.008032,0.363636,0,1
Healexr,0.050296,0.091716,0.000000,0.352000,1,1
caprisun,0.000000,0.394026,0.000000,0.963687,1,0
alg0man,0.000000,0.309735,0.005900,0.784211,1,0
keaucucal,0.061810,0.152318,0.011038,0.540816,0,1
SG2Alok,0.020903,0.147993,0.003344,0.325942,0,1
10tus,0.000000,0.294382,0.005618,0.636029,0,0
HarshBoghani,0.000000,0.239470,0.005679,0.501777,0,0
